sep=,
instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,65536,22979,19783,9704,6624,6446,841,18942,363,9341,294,6330,21765,35,0.025731658
1,RedBlackBST,65536,22979,19783,9704,6624,6446,841,18942,363,9341,294,6330,21765,18,0.021329034
2,BST,65536,22839,19858,9859,6433,6547,834,19024,364,9495,278,6155,21616,30,0.021127426
2,RedBlackBST,65536,22839,19858,9859,6433,6547,834,19024,364,9495,278,6155,21616,19,0.049578805
3,BST,65536,22865,19769,9816,6550,6536,811,18958,378,9438,278,6272,21632,33,0.030329491
3,RedBlackBST,65536,22865,19769,9816,6550,6536,811,18958,378,9438,278,6272,21632,19,0.048266099
4,BST,65536,22772,19676,9941,6684,6463,815,18861,370,9571,292,6392,21570,36,0.030379977
4,RedBlackBST,65536,22772,19676,9941,6684,6463,815,18861,370,9571,292,6392,21570,19,0.027146258
5,BST,65536,22972,19598,9788,6571,6607,859,18739,391,9397,290,6281,21783,33,0.051571481
5,RedBlackBST,65536,22972,19598,9788,6571,6607,859,18739,391,9397,290,6281,21783,20,0.045613288
6,BST,65536,22943,19776,9833,6441,6543,779,18997,367,9466,248,6193,21677,32,0.038301583
6,RedBlackBST,65536,22943,19776,9833,6441,6543,779,18997,367,9466,248,6193,21677,19,0.055123448
7,BST,65536,23085,19528,9837,6586,6500,825,18703,379,9458,278,6308,21820,38,0.087928883
7,RedBlackBST,65536,23085,19528,9837,6586,6500,825,18703,379,9458,278,6308,21820,20,0.037566994
8,BST,65536,22723,19678,9861,6553,6721,820,18858,380,9481,290,6263,21478,31,0.051128125
8,RedBlackBST,65536,22723,19678,9861,6553,6721,820,18858,380,9481,290,6263,21478,20,0.062784402
9,BST,65536,23014,19685,9744,6533,6560,870,18815,391,9353,266,6267,21782,31,0.047572975
9,RedBlackBST,65536,23014,19685,9744,6533,6560,870,18815,391,9353,266,6267,21782,19,0.026997777
10,BST,65536,22909,19805,9738,6638,6446,868,18937,361,9377,251,6387,21638,30,0.020287519
10,RedBlackBST,65536,22909,19805,9738,6638,6446,868,18937,361,9377,251,6387,21638,20,0.020533554
11,BST,65536,22867,19491,9798,6762,6618,796,18695,366,9432,299,6463,21602,35,0.020474091
11,RedBlackBST,65536,22867,19491,9798,6762,6618,796,18695,366,9432,299,6463,21602,19,0.020176177
12,BST,65536,22957,19515,9831,6624,6609,839,18676,385,9446,276,6348,21717,38,0.020993439
12,RedBlackBST,65536,22957,19515,9831,6624,6609,839,18676,385,9446,276,6348,21717,20,0.020844354
13,BST,65536,22938,19701,9809,6584,6504,856,18845,368,9441,291,6293,21681,32,0.044555784
13,RedBlackBST,65536,22938,19701,9809,6584,6504,856,18845,368,9441,291,6293,21681,20,0.030353917
14,BST,65536,22962,19675,9810,6475,6614,865,18810,393,9417,264,6211,21714,36,0.023045165
14,RedBlackBST,65536,22962,19675,9810,6475,6614,865,18810,393,9417,264,6211,21714,21,0.024534555
15,BST,65536,22794,19709,9873,6454,6706,826,18883,378,9495,304,6150,21598,33,0.030886547
15,RedBlackBST,65536,22794,19709,9873,6454,6706,826,18883,378,9495,304,6150,21598,19,0.0217875
16,BST,65536,22922,19795,9844,6453,6522,849,18946,367,9477,245,6208,21682,30,0.025247108
16,RedBlackBST,65536,22922,19795,9844,6453,6522,849,18946,367,9477,245,6208,21682,19,0.021752507
17,BST,65536,22969,19576,9853,6538,6600,862,18714,385,9468,300,6238,21719,37,0.023711571
17,RedBlackBST,65536,22969,19576,9853,6538,6600,862,18714,385,9468,300,6238,21719,20,0.027304116
18,BST,65536,22988,19615,9838,6512,6583,840,18775,338,9500,292,6220,21743,30,0.026607948
18,RedBlackBST,65536,22988,19615,9838,6512,6583,840,18775,338,9500,292,6220,21743,19,0.039939433
19,BST,65536,22925,19619,9808,6505,6679,865,18754,340,9468,279,6226,21638,31,0.024656566
19,RedBlackBST,65536,22925,19619,9808,6505,6679,865,18754,340,9468,279,6226,21638,19,0.023309887
20,BST,65536,23017,19559,9849,6563,6548,837,18722,379,9470,291,6272,21739,37,0.021041858
20,RedBlackBST,65536,23017,19559,9849,6563,6548,837,18722,379,9470,291,6272,21739,19,0.027596669
21,BST,65536,22824,19715,9882,6496,6619,794,18921,359,9523,279,6217,21592,35,0.022167592
21,RedBlackBST,65536,22824,19715,9882,6496,6619,794,18921,359,9523,279,6217,21592,19,0.021213805
22,BST,65536,22945,19761,9789,6506,6535,830,18931,383,9406,284,6222,21636,32,0.024395639
22,RedBlackBST,65536,22945,19761,9789,6506,6535,830,18931,383,9406,284,6222,21636,18,0.029901117
23,BST,65536,23019,19539,9809,6517,6652,822,18717,405,9404,284,6233,21751,33,0.023143056
23,RedBlackBST,65536,23019,19539,9809,6517,6652,822,18717,405,9404,284,6233,21751,19,0.029090489
24,BST,65536,22943,19615,9866,6598,6514,811,18804,364,9502,253,6345,21703,34,0.048108031
24,RedBlackBST,65536,22943,19615,9866,6598,6514,811,18804,364,9502,253,6345,21703,19,0.028652111
25,BST,65536,22884,19658,9918,6651,6425,804,18854,364,9554,262,6389,21687,33,0.038885567
25,RedBlackBST,65536,22884,19658,9918,6651,6425,804,18854,364,9554,262,6389,21687,20,0.028056437
26,BST,65536,22868,19773,9821,6606,6468,856,18917,361,9460,258,6348,21636,33,0.022559382
26,RedBlackBST,65536,22868,19773,9821,6606,6468,856,18917,361,9460,258,6348,21636,19,0.020032368
27,BST,65536,22703,19762,10040,6517,6514,797,18965,392,9648,282,6235,21425,30,0.022782168
27,RedBlackBST,65536,22703,19762,10040,6517,6514,797,18965,392,9648,282,6235,21425,20,0.020825221
28,BST,65536,22958,19488,9811,6693,6586,822,18666,360,9451,295,6398,21749,33,0.049178613
28,RedBlackBST,65536,22958,19488,9811,6693,6586,822,18666,360,9451,295,6398,21749,20,0.041484016
29,BST,65536,22942,19694,9909,6508,6483,801,18893,357,9552,302,6206,21664,33,0.038364267
29,RedBlackBST,65536,22942,19694,9909,6508,6483,801,18893,357,9552,302,6206,21664,19,0.02018651
30,BST,65536,22934,19643,9855,6562,6542,824,18819,387,9468,279,6283,21663,33,0.025151613
30,RedBlackBST,65536,22934,19643,9855,6562,6542,824,18819,387,9468,279,6283,21663,19,0.02524168
